padyam_text	padyam_type
"ఇంద్రనీలచ్ఛాయ లీను నెమ్మేనిపైఁ- గనకాంబరప్రభ గ్రందుకొనఁగఁ
బర్వసుధాంశు శోభసముజ్జ్వలవక్త్ర- మున నూర్ధ్వపుండ్రము ముద్దు గుల్క
నెగుభుజంబుల ధగద్ధగితాంగద ద్యుతుల్‌- మూర్ధరత్నకిరీటమునఁ జరింప
వర్ణితోరస్థలి వైయంతిక కౌస్తు- భాంతర శ్రీదేవియంద మమర"	seesamu
"రమ్ము దర్శన మిమ్ము ఘోరములఁ జిమ్ము-మభయ మిమ్ము భవత్తత్త్వ మానతిమ్ము 
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"కలిగినప్పుడె కన్న తలిదండ్రు లెన్న నే- నిసువు మాటాడంగ నేర్చె జగతి
జయలిజగంబు లంబకు నిజోదరమునం- దేబిడ్డ చూపించె నిద్ధరిత్రిఁ
దొడలపై ముద్దుగా నిడుకొన్న జనని కే- పసిపిల్ల కొండంతబరువు దోఁచెఁ
దల్లిచెంగటనుండి యిల్లిల్లుఁ జొచ్చి యే- కుఱ్ఱఁ డింతుల బల్మిఁ గూడ నేర్చె"	seesamu
"నాబుడత వీవెరా యబ్బ! యబ్బురంపు-కతలమారివి నీ వెఱుంగనివి గలవె?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"వరమిచ్చినట్టి శంకరుని కెగ్గు దలంచు- భస్మాసురుని పేరుఁ బాపినావు
తనయిల్లుఁ గాచు నుగ్రుని బోరుటకుఁ బిల్చు- బాణుచేతులు తెగఁ బఱికినావు
తొలుమిన్కు లజుని మ్రుచ్చిలి గొన్న సోమకుఁ- జంపి విద్యలు ధాత కంపినావు
బలిమి దైత్యులు సుధాకలశము న్గొన వారి- వంచించి సురలకుఁ బంచినావు"	seesamu
"నిఖిలదైవత కార్యముల్‌ నిర్వహించు-నీకు నిజకార్యము భరంబె నిర్వహింప!
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"అచట లే వని కదా యరచేతఁ జఱచెఁ గ్రు- ద్ధత సభా స్తంభంబు దానవేంద్రుఁ
డచట లే వని కదా యస్త్రరాజం బేసె- గురుసుతుం డుత్తరోదరమునందు
నచట లే వని కదా యతికోపి ననిచెఁ- బాండవు లున్నవనికిఁ గౌరవకులేంద్రుఁ
డచట లే వని కదా యాత్మీయసభను ద్రౌ- పది వల్వ లూడ్చె సర్పధ్వజుండు"	seesamu
"లేక యచ్చోటులను గల్గలేదె ముందు-కలవు కేవల మిచ్చోటఁ గల్గు టరుదె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"అంచితాఖండ దీపారాధనల చేత- దీపించు నెప్పుడు దేవళంబు
అగరుసాంబ్రాణి ధూపార్పణంబులచేత- భవనం బ దెప్పుడుఁ బరిమళించు
నతినృత్యగీత వాద్యస్వనంబులచేత- నెప్పుడుఁ గోవెల యెసక మెసఁగు
నఖిలోపచార సమర్పణంబులచేత- మెఱయు నెప్పుడుఁ దిరుమేను కళల"	seesamu
"నిపు డొకించుక లోభిత్వ మెనసి నట్లు-దోఁచుచున్నాఁడ విట్టియద్భుతము గలదె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"భక్తిఁజేసిన శిలాప్రతిమ మాత్రమే కాని- హరి యిందుఁ గలుగునా యనెడువారు
స్వామి యిం దుండిన సత్యంబుఁ జూపక- యుండునే యని పల్కుచుండువారు
బుద్ధావతారంబుఁ బూనినాఁ డఖిలంబుఁ- గని కనన ట్లుండు ననెడువారు
దేవతామహిమంబు దెలియునో యేమేమి- నడువ నున్నదో యని నుడువువారు"	seesamu
"నీకు నిత్యోపచారముల్‌ లేకయున్న-లోకు లి ట్లాడుకొండ్రు పరాకిదేమి
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"ధర నూటయెనిమిది తిరుపతులందు శ్రీ- కాకుళం బరయఁ బ్రఖ్యాతమేని
యాంధ్రనాయకుఁడ వం చఖిలదేశంబుల- నిన్నుఁ గీర్తించుటే నిజమయేని
వైఖానసోక్తికి వంచన రాకుండ- నెరలు చూపినమాట నిజమయేని
వైకుంఠుఁడవు స్వయంవ్యక్తిగా మర్చావ- తార మొందినమాట తథ్యమేని"	seesamu
"వివిధ పూజోత్సవములు నిర్విఘ్నములుగఁ-జేసికొనకున్న నీకుఁ బ్రసిద్ధి గలదె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"మానితంబుగ గరుత్మద్ధ్వజారోహణం- బెప్పుడొనర్తువో చెప్పుమయ్య!
గరిమతో నీ తిరుక్కల్యాణసంభ్రమం- బెప్పు డెప్పుడొ వేగ చెప్పు మయ్య
రమతో మహోన్నతరథ మెక్కి తిరువీథు- లెప్పు డేతెంతువో చెప్పు మయ్య
ధరణి నభ్యాగతదాన ప్రజాబృంద- మెప్పుడు బలియునో చెప్పు మయ్య"	seesamu
"వత్సరోత్సవ వీక్షణవాంఛ జనుల-కెపుడు ఫలియించునో యానతీయు మయ్య
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"తగునట్లు తిరుమేను తా నామతింపుచు- మిన్న పీతాంబరం బున్న దనుచుఁ
గమలతోఁ బుట్టిన కౌస్తుభం బది పోవఁ- దక్కు సొమ్మది నీకు తక్కె ననుచు
లలితరత్న ద్యుతి మొలచినట్లు కిరీట- ముత్తమాంగముఁ బాయ కున్న దనుచు
మండితమాణిక్యకుండలంబులు కర్ణ- యుగళితోఁ బుట్టిన ట్లున్న వనుచు"	seesamu
"నిండుకొన్నావు గడియించు నేరుపరివె-ప్రావలువ బ్రారువాణముల్‌ బ్రాఁతి యేమి?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"వంచన గాదె దివ్యక్షేత్రపతులలో- మంత్రార్థకృత్యము ల్మాని యున్న?
నపకీర్తిగాదె లోకాలోకములయందు- వత్సరోత్సవములు వదలి యున్న?
నగుబాటు గాదె యన్యమతస్థజనులలో- నిజదాసకోటి మన్నింపకున్నఁ?
బరిపాటి గాదె యల్పజ్ఞానమతులలో- దేవతామహిమంబుఁ దెలుపకున్న?"	seesamu
"నేఁటిదా నీ ప్రతిష్ఠ వర్ణించి చూడఁ-బాడి దప్పిన బలునిందపాలు గావె?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"తిరునాళ్ళతఱి వచ్చెఁ బరిపరివిధముల- నెలమి సామగ్రిఁ జేయింప వేమి?
సేవకు లందందు సేవింప భావింప- తిరువీథుల రథంబుఁ ద్రిప్పవేమి?
వృజిన మెల్లఁ దొలంగు నిజ మంచుఁ బ్రజ లెంచు- పరమప్రసాదంబుఁ బంచవేమి?
దివ్య దేశం బిది తీర్థంబు సార్థంబు- చక్రతీర్థము కృప సలుప వేమి?"	seesamu
"హఠము గావించి నీయన్వయంబు లెత్తి-కీర్తి నిందఁగ వర్ణించి గేలిపఱతు
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"చెల్లింపఁ దగునె వ్రేపల్లెలోఁ గల వెఱ్ఱి- గొల్లయిల్లాండ్రను గొల్లగొనఁగ?
మెక్కంగఁ దగునె ము న్పెక్కిండ్లలో నుట్ల- కెక్కి పాల్వెన్నలు డొక్క నిండ?
మ్రుచ్చిలఁ దగునె మళ్ళుచ్చి జలక మ్మాడు- మచ్చెకంటుల కోక లిచ్చకముగ?
మ్రొక్కంగఁ దగునె ముం దొక్కపువ్వునకుఁ దాఁ- గక్కసించినయాలి కక్కజముగ"	seesamu
"నిట్టీ నగుబాటుపనులు నీ వెన్ని కలుగఁ-జేసినాఁడవు మంచిప్రసిద్ధకుఁడవె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"అబ్బుకో గలవొ కాయక్లేశ మొనరించుఁ- దేవాసురు లటుండ దివ్యరమను
దోచుకోఁ గలవొ చే సాచి లోకము లాచి- బలిమహాదాత వైభవము లెల్ల
రాఁ దీయఁగలవొ సత్రాజిత్తుఁ డీకున్న- మణిశమంతక మొక మమతఁ గొల్పి
నాటించఁ గలవొ సన్న కసన్ననె వనంబు- పెట్టు మ్రాన్పెకలించి పెరటిలోనఁ"	seesamu
"దెచ్చుకొన వేమి వస్త్రాన్నదీపధూప-గంధ తాంబూలములకైన గడన దెలిసె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"తలను బించెపుదండ ధరియించవలె గాని- మణికిరీటము బెట్ట మనుజపతివె?
గళమున వనమాలికలు పూనవలెఁ గాని- హారము న్వేయ దేశాధిపతివె?
కరమున మురళి చక్కఁగఁ బూనవలెఁ గాని- శాతాసిఁ బూనంగ క్షత్రియుఁడవె?
తనువు గోక్షీరవాసన గుప్పవలెఁ గాని- చందనం బలఁద రాజవె తలంప?"	seesamu
"నెల్లలోక మెఱింగిన గొల్లవాఁడ-వేది కుల మింత రాజస మేమి నీకు
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"కన్నవారల మున్ను గారాగృహంబున- విడిచి పాఱితివి నీ కడిమి యేమి?
పగవాఁడు పురిటిలోఁ బట్టి నెత్తుకపోవఁ- దమకించుచున్న నీ ధైర్య మేమి?
ముద్దుమన్మని గోప్యముగ నొండు బంధింపఁ- దెలియన ట్లున్న నీ తెగువ యేమి?
వైరిధాటికి నోడి వనధి మధ్యమునందు- నిలు గట్టుకొన్న నీ బలిమి యేమి?"	seesamu
"విఱిగి తిరి గెన్నఁడెన్నఁడో తఱి యెఱింగి-యొరుల నడఁచితి వది యేమి భరము నీకు?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"భిల్లాంగనాదంతపీడిత ఫలభుక్తి- హేయంబు దోఁచలే దింత నీకు
సంక్రందనాత్మజ స్యందన సారథ్య- మెరుసుగాఁ దోఁచలే దింత నీకు
గోపాలకానేక గోవత్సపాలనం- బెగ్గుగాఁ దోఁచలే దింత నీకు
వ్రజబాలికా ముక్తవస్త్రాపహరణము- హీనమై తోఁచలే దింత నీకు"	seesamu
"నుచ్చనీచంబు లెఱుఁగక యిచ్చఁ జేయు-చేష్ట లివి భక్తహితమతిఁ జేసి తండ్రు
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"విమతభూపతు లెట్లు విముఖులై పాఱిరో- రాజపీఠం బెక్కరాని నీకు
కుంభినీధవు లెట్లు కూఁతుండ్ర నిచ్చిరో- కుల మొల్లకయె నీకు గోపకునకు
సుందరీమణు లెట్లు చూచి మోహించిరో- క ప్పగు మైచాయ గలుగునీకు
దాసజనం బెట్లు దాస్యంబు సలిపిరో- తిరియువానిని మారు తిరియు నీకు"	seesamu
"మమత నీలీల లటు సూచి బ్రమసి రేమె-తగుదువే యిట్టిఘనతకు దంభభూప
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"విక్రమాక్రమిత భూచక్రుఁ డౌ హేమాక్షు- పొం గణంచుటలు కోణంగితనము
కరగతామృతకుంభ గర్వితాసురకోటిఁ- దూలఁగొట్టుటలు గయ్యాళితనము
కుచపూర్ణ విషదుగ్ధకుటిల యౌ పూతన- పేరు మాయించుట పిల్లతనము
కంసపురీ ద్వారగమనావరోధి యౌ- మదకరి నీడ్చుట మకురుతనము"	seesamu
"వడిగలతనంబులా యివి? గడన యేమి-కొద్దిపను లివి నీ కిది పెద్దతనమె?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"కెరలి కంసుఁడు నిన్ను నఱకఁ గాచినవాని- బారి సోదరిఁ ద్రోచి పాఱినావు
సరిపోర నరకు నొంచఁగ లేక చేతివి- ల్లాలిచే నిడి దండ నలరినావు
తెగడి బంధువు లాజిఁ దిట్టి కొట్టఁగ నోర్చి- వైదర్భిఁ జేపట్టి వచ్చినావు
దర్పకోద్ధతి కెంతొ తత్తరపడి నిజ- స్త్రీ పదాబ్జములఁ జే మోపినావు"	seesamu
"నీ పరాక్రమ మిట్టిది నిఖిలజగము-లాజ్ఞ మీఱక నిల్చుట యద్భుతంబు
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"వ్రేపల్లెలో గొల్లవెలఁదులు గొట్ట రా- దొడిదొడి యిల్లిల్లుఁ దూఱలేదొ
రాసకేళికయందు రమణులా యెందఱో- చుట్టి పట్టినఁ బాఱఁ జూడలేదొ
పదియాఱు వేల గోపకుమారికలు తేరి- పాఱఁ జూచిన మతి బ్రమయలేదొ
ప్రణయవాదంబున భార్య లా యెనమండ్రు- గసరివేసినఁ గూర్మిఁ గొసరలేదొ"	seesamu
"తలిరుబోఁ డుల యెదుటఁ దత్తరము గలుగ-నేవు పరరాజముఖమున నిలువ గలవె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"ఆలు నిర్వాహకురాలు భూదేవి యై- యఖిలభారకుఁ డనునాఖ్యఁ దెచ్చె
నిష్టసంపన్నురా లిందిర భార్యయై- కామితార్థదుఁ డన్న ఘనతఁ దెచ్చెఁ
గమలగర్భుఁడు సృష్టికర్త తనూజుఁడై- బహుకుటుంబకుఁడన్న బలిమి దెచ్చెఁ
గలుషవిధ్వంసిని గంగ కుమారి యై- బతితపావనుఁ డన్న ప్రతిభఁ దెచ్చె"	seesamu
"నాండ్రు బిడ్డలు దెచ్చుప్రఖ్యాతి గాని-మొదటినుండియు నీవు దామోదరుఁడవె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"కడలి రాయనిముద్దుకన్నియఁ బెండ్లాడి- యూఁచఁగా నిల్లట ముండు టేమి
సహజ నొక్కర్తెను షండ పాండవునకుఁ- బెండ్లిఁ జేసితి నీవు పెద్ద వేమి
చిరరతిప్రౌఢను జిన్నబిడ్డని కీవు- గూర్చితి వారీతి గూడు నేమి
యుగములనాటి పెన్మగువను ముసలన్న- కొగిఁ జేసితివి తగుం దగు మఱేమి"	seesamu
"తెలియ నవ్యక్తుఁడవు గావు తెలిసికొన్న-నిట్టివాఁ డని తెలియలే దెవ్వరికిని
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"నీ జ్యేష్ఠపుత్త్రుఁ డెన్నికకు రాని యశాశ్వ- తపుఁ బను ల్సేయు సంతతము జగతి
వేరొక ముద్దుకుమారుఁడందఱిమోహ- లతల స్త్రీపురుషుల లంకెఁ బెట్టు
నీతలోదరి లోకమాత పక్షాపక్ష- దృష్టిఁ జంచలవృత్తిఁ దిరుగుచుండు
నీ వనన్యకృతాది నిబిడమాయావిధా- నుల జేయు దెవ్వరిఁ దొలఁగనీక"	seesamu
"నొకరికంటె గుణాధికు లొకరు మీరు-ఇంతచక్కన దెలిసె మీయింటివరుస
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"సకలంబు నీవ యై మొకమఱ్ఱియాకుపై- నిచ్చఁ బరుండునాఁ డెంత గలవొ!
తన బిడ్డఁ డని యశోదాదేవి పొత్తుల- నిడుక ముద్దాడునాఁ డెంత గలవొ!
తక్కులమారత్త దక్కించుకొనఁగ ని- న్నెత్తుక పెంచునాఁ డెంత గలవొ!
భయలేశ మెఱుఁగక బల్పాముపడగపై- గంతులు వైచునాఁ డెంత గలవొ!"	seesamu
"పరువు గలవాఁడ వేమి ప్రాఁబల్కు లంచు-దెలియ వరిముక్కు ముల్లంత తలవొ! లేవొ!
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"కల్లరు ల్గాని వ్రేపల్లెవా రందఱు- హర్షింప నచట నీయాట సాగె
మధురాపురీవరమనుజు లామోదించి- మన్నింప నచట నీయాట సాగె
ద్వారకాపట్టణధన్యులు నినుఁ గోరి- కొల్వఁగా నచట నీకొల్వు సాగెఁ
గరిపురధర్మజుం డురురాజసభ నిన్ను- భూషింప నచట నీముర్వు సాగె"	seesamu
"నెరుక మాలినవారుఁ నీపరువు దలఁతు-రేమి నీపొంకములు సాగు నేమి యచట?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"దూడలలోఁ బెరదూడ మేయఁగఁజూచి- యట్టె పట్టుక చావఁగొట్టవలెనె
పొడవ రా వేగ నాబోఁతుకొమ్ములు పట్టి- విడువక దానిపే రుడుపవలెనె
ముక్కుతోఁ జెనకిన కొక్కెరాయనిఁ బట్టి- వెర వొప్పఁగా మెడ విఱువవలెనె
తన్నుఁ బో తని మృగాధమ మంచు నెంచక- తొడరి గార్ధభమును ద్రుంపవలెనె"	seesamu
"మేమి ఘనకార్యములు చేసి తిద్ధరిత్రి-నెన్నటికి నీ వొనర్చిన విట్టిపనులె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"కవ్వడి కెంత చక్కఁగ బోధ చేసిన- నితరహింసాకర్మ మిష్టపఱుప
రాయబారం బెంత రసికత నడిపిన- ననికి భారతుల నాయత్త పఱుప
విశ్వరూపం బెంత విమలతఁ జూపిన- నోర్వని కురురాజు నులుకు పఱుప
విలుఁ బట్ట నని యెంతొ చెలిమిగఁ బలికిన- నవల సుయోధను నాసపఱుప"	seesamu
"పోరు చంపక చుట్టముల్‌ పోర నీల్గఁ-జూచుచుంటివి యేనాఁటి చుట్ట మీవు?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"శ్రీమద్వికుంఠపురీ వరేశుఁడ వయ్యు- గొల్లపల్లెల నుండఁ గోరు టేమి
యక్షీణలక్ష్మీ కటాక్షవీక్షుఁడ వయ్యుఁ- ద్రోవ లే కింటింటఁ దోఁచ నేమి
భూరి చతుర్దశ భువనావనుఁడ వయ్యుఁ- గడువేడ్కఁ దొఱ్ఱులఁ గాయ నేమి
సన్మునిదేవతా సంభావితుఁడ వయ్యు- నాలగావరులతో నాడ నేమి?"	seesamu
"గొప్పలో గొప్పవాఁడవు కొలదిలోనఁ-గొలదివాఁడవు ని న్నెట్లు గొలువ వచ్చు?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"దుర్యోధనుం డవధ్యుఁడ వంచు మానెఁ గా- కలుక బంధింపఁగాఁ దలఁప లేదె?
గోపాలుఁడవు పూజఁ గొందువేరా యని- సభ నిన్నుఁ దిట్టఁడే చైద్యుఁ డెదిరి?
నీలాంఛనంబులఁ బోలు చిహ్నలు దాల్చి- తానె నీ వనఁడె యుద్ధతినిఁ బౌండ్రుఁ?
డెవ్వరుఁ బట్టలే రేను బట్టెద నంచు- యవనుండు దరుమఁడే యాహవమున"	seesamu
"నృపులు కొందఱు వెఱచిరే నీకు మున్ను-ప్రాణముల కాసపడరేని భండమున
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"రాజు లెవ్వరుఁ బఙ్క్తిభోజన మిడకున్న- దాసునింట భుజించి తనియలేదొ?
బంధువు లెవ్వరు గంధ మీ కుండిన- మువ్వంకలది పూయ మురియలేదొ?
దొర లెవ్వరును బూలసరము లీకుండినఁ- దెలిసి మాలికుఁ డీగ నలరలేదొ?
ప్రభువు లెవ్వరు వస్త్రబహుమాన మీ కున్నఁ- దెచ్చి యిచ్చిన చాకి మెచ్చలేదొ?"	seesamu
"పాటి సేయంగ నేరాజు బంధుగుఁడవొ?-మున్నె నీపస దెలిసిన దెన్న నేమి?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"నాఁగలి రోఁక లన్నకు నిచ్చి శంఖాది- పంచాయుధము లీవు పట్టినావు
తాఱిటెక్కెంబు కోల్తల పెద్ద కెత్తించి- గరుడధ్వజం బీవు గట్టినావు
వెలరాని కఱవోని వలువ జ్యేష్ఠున కిచ్చి- కనకాంబరం బీవు గట్టినావు
మద్య మగ్రజునకు మత్తిలఁ దావించి- జున్ను బాల్‌ పెరుఁ గీవు జుఱ్ఱినావు"	seesamu
"తగువరివె యన్నదమ్ముల ధర్మ మీవె-తీర్చవలెఁ గాని మఱియొండు తీర్పఁగలఁడె
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"అప్పనంబులు గొన్ను నఖిలదిఙ్మండలే- శ్వరులచే వేంకటాచలనివాసుఁ
డరుదుగా నరువదా ఱవసరంబులు మహా- భోగంబుఁ గొనునీలభూధ్రవరుఁడు
పానకం బాలు సాఁబాలు భక్తుల కిచ్చి- మెసఁగును మంగళాద్రీశ్వరుండు
పుట్టకొలంది మైపూఁతఁగాఁ గొను మంచి- గంధంబు సింహనగ ప్రభుండు"	seesamu
"సాటిసాములరీతి నిచ్చోట నీవు-మూర్తిమంతంబుఁ జూపక కీర్తి గలదె?
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"బొచ్చెచేఁపకు నైన మచ్చరం బున్నది- తాఁబేటి కైన సత్త్వంబు గలదు
డీకొన్న నడవిపందికిఁ గల్గు రోసంబు- తెరనోటినరుఁడైనఁ దెగువ సేయుఁ
బొట్టివానికి నైన దిట్టతనం బుండు- బాపని కైన దర్పంబు గలదు
చుంచురాజున కైన శూరత్వ మున్నది- ముసలికి నైనఁ జేపుష్టి గలదు"	seesamu
"సిద్ధ మాభీరుఁడవు నీవె బుద్ధి నెంచఁ-గలికి వై యేమి సేయఁ గలవొ కాని
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
"మును నందగోవత్సములఁ గాయునప్పుడు- సనునయించిరె కంజజాది సురలు?
విటచోరచేష్టల వ్రేపల్లెఁ దిరుగు నీ- దగుమ్రోల నచ్చర లాడినారె?
నరరథాశ్వముల సంగరవీథిఁ దోలునాఁ- డెంచి దిక్పతులు భావించినారె?
మగధేశుదాడికి మథుర వీడిననాఁడు- దేవర్షు లెల్లఁ గీర్తించినారె?"	seesamu
"యల్పునిగ నెంచినారె లోకైకనాథ-నాథునిఁగ నెంచినారె ము న్దరణిఁ? జెపుమ
చిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!"	teytageethi
