id	task	meter	genre	theme	addressee	makuta_hint
pdy-gt-kandamu-07	generate_theme	kandamu	niti	the value of learning		false
pdy-gt-kandamu-08	generate_theme	kandamu	niti	the danger of bad company		false
pdy-gt-kandamu-09	generate_theme	kandamu	niti	keeping one's word		false
pdy-gt-kandamu-10	generate_theme	kandamu	niti	wealth passes, character stays		false
pdy-gt-kandamu-11	generate_theme	kandamu	niti	respect for elders and teachers		false
pdy-gt-aataveladi-00	generate_theme	aataveladi	niti	the value of learning		false
pdy-gt-aataveladi-01	generate_theme	aataveladi	niti	true friends versus flatterers		false
pdy-gt-aataveladi-02	generate_theme	aataveladi	niti	wealth passes, character stays		false
pdy-gt-aataveladi-03	generate_theme	aataveladi	niti	giving without expecting return		false
pdy-gt-aataveladi-04	generate_theme	aataveladi	niti	controlling anger		false
pdy-gt-aataveladi-05	generate_theme	aataveladi	niti	humility despite wealth		false
pdy-gt-aataveladi-06	generate_theme	aataveladi	niti	truthfulness even when it is costly		false
pdy-gt-aataveladi-07	generate_theme	aataveladi	niti	patience under provocation		false
pdy-gt-aataveladi-08	generate_theme	aataveladi	niti	pride in one's own cleverness		false
pdy-gt-aataveladi-09	generate_theme	aataveladi	niti	respect for elders and teachers		false
pdy-gt-aataveladi-10	generate_theme	aataveladi	niti	keeping one's word		false
pdy-gt-aataveladi-11	generate_theme	aataveladi	niti	the danger of bad company		false
