id	poem	meter	class	author	genre	satakam	satakam_te	meter_source	meter_confidence	meter_margin	verifier_valid	n_lines	seesa_tail	seesa_tail_abbr
pdy-Aandhranaayaka-040	పూతనాకుచకుంభపూర్ణ విషస్తన్య- పాయివై బ్రదికిన భాగ్య మేమి?\nకాళియాశీవిషగ్రసన ప్రమాదంబు గడచి జీవించిన ఘనత యేమి?\nచాణూరమల్లదో స్తంభ ఘట్టన కోర్చి- లబ్ధజయుఁడ వైన లాభ మేమి?\nసాళ్వరాజామోఘ శక్తిప్రయోగంబు- మరలించుకొనిన సామర్ధ్యమేమి?	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	బడుగుదాసరివలె నన్నవస్త్రములకుఁ-బరుల కాశింతు విచట నీపంత మేమి?\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-042	కడు దొంగతనమునఁ గని తల్లి వైచినఁ- దనబిడ్డనిగ బెంచె నిను యశోద\nజనని గర్భము దించుకొనిన వేఱొకతల్లి- కడుపుఁ జేసికొనంగ గలిగెనన్న\nతండ్రి వివాహయత్నము సేయ నొల్లక- తగులుక వచ్చె నీ ధర్మపత్ని\nయన్న రారాజు కీనున్న నీసోదరి- యింటికి జోగిరా నంటుకొనియె	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	నిట్టి నీ సంప్రదాయంబు గుట్టు బెట్టు-రట్టు సేయుదుఁ గనుము నా భట్టుతనము\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-043	పక్షంబు గల దండ్రు పాండుపుత్రులయందు- పాండవుల్‌ పడినట్టి పాటులేమి!\nపూర్వజన్మమునందుఁ బూజించె గజ మండ్రు- గజరాజు పొందిన గాసి యేమి!\nయల కుచేలునకు బాల్యస్నేహితుఁడ వండ్రు- నెఱిఁ గుచేలుఁడు పడ్డనెవ్వ లేమి!\nప్రహ్లాదుఁ డాజన్మభక్తియుక్తుం డండ్రు- ప్రహ్లాదుఁ డొందిన బాధ లేమి!	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	యెంతయాలస్యమున వారి నేలినాఁడ-విట్టిదే నీ దయారసం బెంచి చూద\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-049	నమ్ముదు రేరీతి నారదు నాత్మజు- మానిని జేసిన మాయవానిఁ?\nదలఁతు రేరీతి నల్‌దలలదయము నోలి- బొడ్డుదమ్మినిఁ గన్న పురుషమణిని?\nభూషింతు రేరీతి పుష్పబాణవిరోధి- విషయభ్రమితుఁ జేయు వేసగాని?\nభాషింతు రేరీతి బ్రహ్మాదిమశకప- ర్యంతంబు గలిగిన వింతవాని?	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	ని న్నెఱిఁ గెఱింగి యందఱు నన్నుతింతు-రెవ్వరికి నీవు కావలె నెంచి చూడ?\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-059	కొనముట్ట హెచ్చుతగ్గుల ప్రాతఁసుద్దుల- తాతపుస్తక మొకఁ డాతతాయి\nమ్రుచ్చిలి నీటిలోఁ జొచ్చి డాఁగిన వాని- పావన మేమి వెంబడిగఁ బెద్ద\nకోఱమీనంబవై యాఱొండుసంద్రము- ల్నిముసంబులో నీఁది నెమకి వాని\nడొక్క వ్రక్కలుగాఁ గఱుక్కున బరిఁ గోసి- కడ లేనినుడువు లెక్కటికి నోట	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	మాట వెళ్ళనివానికి మగుడ నిచ్చి-యింతపనికిని నవతార మెత్తి తీవు\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-061	ఉక్కునఁ బసిఁడికన్‌ రక్కసుఁ డొకఁడు ప- ల్దిక్కు లోరిచి బొల్లిపక్కి మావు\nనెక్కు రౌ తెక్కడఁ జిక్కెడు నంచు నీ- యిక్కువ లరయంగఁ గిక్కురించి\nనక్కితి విలక్రిందఁ జొక్కపుఁ బంది వై- కొక్కరింపుచు నాతఁ డక్కడికిని\nమొక్కరింపఁగఁ జొరఁ బొక్కతే కట వాని- డొక్కగఱుక్కునఁ జెక్కిపట్టి	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	నొక్కి పుడ మింత నీటిపై కెక్కఁదీయ-మక్కువ దనర్ప నది యేమి రక్కరింపు\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-066	ధర్మవిఘాత మిద్ధర నీ వొనర్చిన- మూఁడులోకంబులు మ్రోసె నపుడె\nజనకునికూఁతు నిచ్చను బెండ్లి యాడంగ- నరనాథకోటులు నవ్వి రపుడె\nపుణ్యజనంబులఁ బోరి బాధింపంగ- సుర లద్భుతము నొంది చూచి రపుడె\nసంతతాశ్రిత విభీషణు రాజుఁ జేయంగ- నల రవీంద్రులు సాక్షి నిలిచి రపుడె	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	మంచినడవడి నడిచినా పెంచి చూడఁ-గీర్తి గల మూర్తివే యిట్టి వార్త లరయ\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-070	కులగురుద్వేషి నొజ్జలుగ పెన్కొని కాచి- నిష్ఠురమంత్రము ల్నేర్చినావు\nపూర్వదేవతలు కాపుర మున్నపురియందు- వంచించి యగ్గిఁ బెట్టించినావు\nతాతలతరమునఁ ద్రవ్వించినపయోధి- పేరుగాఁ గొంత పూడ్పించినావు\nమోస మౌ టెఱుఁగక మోహించి వచ్చిన- యెలనాగముక్కుఁ గోయించినావు	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	బళిర! నీవంటిధార్మికుఁ బ్రస్తుతింపఁ-గొదువ లింకేమి కైవల్య మెదుట వచ్చు\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-073	నీపేరు వినుటకే యోపక చెవిఁ గంట- గట్టుకున్నాతనిఁ గావ నేమి?\nకలన నీతోఁ గత్తిఁ గట్టుక పోరాడు- వాని సోదరుని బ్రోవఁగ బ నేమి?\nబాధింపఁ దగు మహాపాత కుండటుచేరి నీవాఁడ నంటె మన్నింప నేమి?\nమాయవేసముల నీ మర్మ మారయుచున్న- విమత ధూతల బట్టి విడువ నేమి?	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	పతిత శరణాగతావన ప్రకటదీక్ష-లోకముల కబ్బురంబుగ నీకె గలదొ?\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-090	సకల వర్ణంబులు సంకరంబులు జేసి- యఖిల ధర్మములు శూన్యములు సేసి\nభూతలంబును బాపభూయిష్ఠముగఁ సేసి-పరగఁ బ్రపంచంబు భ్రష్టు సేసి\nకలి విజృంభించిన కడపటనా నీవు- తురగవాహనుఁడ వై దోర్విరాజి\nఖడ్గచంచద్ధారఁ గలుషాత్ముల వధించి- శిష్టసంరక్షణ సేయు టెల్ల	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	ననిశము చరాచరాది జీవావనైక-జాగరూకుఁడవా నీవు జాగు దెలిసె\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-103	పూర్వకవీంద్రులు పుణ్యఫలం బేమి- సాక్షాత్కరించి యస్మత్పరంబు\nగా గద్యపద్యముల్‌ గల్పించు మనిన వే- వర మొసంగితి వండ్రు వాంఛఁ జేసి\nనేర్చి నట్లుగఁ గూర్చి నేఁటి కవిత్వంబు- నీకంకితముఁ జేసి నెనరు దోఁపఁ\nజేదోయి యొగ్గిన శ్రీపాదరజ మింత- నామీఁదఁ బాఱ నీ వేమి సామి	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	కృపకుఁ బాత్రముఁ జేయు మక్షీణభాగ్య-లక్షణాంచిత పాదపల్లవకరాబ్జ!\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Aandhranaayaka-104	కావ్యదోషము లెఱుంగని మత్కవిత్వంబు- విద్వన్నుతంబుఁ గావించినావు\nబహిరంత రింద్రియ పరిశుద్ధి లేని నా- తలఁపులోపల వచ్చి నిలచినావు\nపుణ్యకర్మ మొకింత పూని సేయని నన్నుఁ- బెద్దలచేత మెప్పించినావు\nపురుషప్రయత్నంబు గురు తెఱుంగని నన్ను- భుక్తి గల్గఁగ జేసి ప్రోచినావు	seesamu	upajaathi	కాసుల పురుషోత్తమకవి	bhakti	Aandhranaayaka	ఆంధ్రనాయక శతకము	site			true	4	పతితుఁ జేపట్టినావు చేపట్టినావె-యన్యగతిఁ బోవనీయకు మార్తరక్ష!\nచిత్ర చిత్ర ప్రభావ దాక్షిణ్యభావ-హత విమతజీవ శ్రీకాకుళాంధ్రదేవ!	తే.
pdy-Bhaktamandaara-001	శ్రీసాకేతపురీవరంబున సునాసీరోపలస్థాపిత-\nప్రాసాదాంతర చంద్రకాంతమణియుక్పర్యంకభాగంబునన్\nశ్రీసీతాసతిఁ గూడ వేడ్కలలరం గ్రీడించు మిమ్మెప్పుడున్\nమా సన్మానసవీథిఁ గొల్చెదము రామా! భక్తమందారమా!	saardulamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-002	అస్తోకామలకీర్తికామ! లసదుద్యన్నీరదశ్యామ! భూ\nవిస్తారప్రభుతాలలామ! త్రిజగత్ప్రఖ్యాతసన్నామ! ధీ-\nరస్తుత్యోరుగుణాభిరామ! భుజసారస్ఫారపౌలస్త్యదు-\nర్మస్తస్తోమవిరామ! ధీమహిత! రామా! భక్తమందారమా!	saardulamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-003	కదనప్రాంగణకార్తికేయ! విలసద్గాంగేయకౌశేయ! భా-\nస్వదుదంచద్ఘననీలకాయ! త్రిజగత్సంరక్షణోపాయ! స-\nమ్ముదితాశేషమరున్నికాయ! దివిషన్ముఖ్యాతిగేయా! గరు-\nత్మదమేయాశ్వ! సుధీవిధేయగుణ! రామా! భక్తమందారమా!	mattebhamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-006	దండం బీయదె నీకుఁ గైకొనుము దోర్దండాగ్రజాగ్రన్మహో-\nదండోత్తాలవిశాల దివ్యతరకోదండాగ్రనిర్ముక్త స-\nత్కాండవ్రాతవిఖండితాహితశిరఃకాండా! కనత్కుండలా!\nమాండవ్యాది తపోధనప్రణుత! రామా! భక్తమందారమా!	saardulamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-007	వింతల్‍గాఁ గడు మీకు సత్కృతులు గావింతున్ దుషారాద్రిజా-\nకాంతాక్రాంతజటాంతరాళవిలుఠద్గంగాతరంగచ్ఛటో-\nత్క్రాంతాత్యంత ఝళంఝళన్నినద రంగద్ధాటి మీఱంగ సా-\nమంతా! సంతతశాంతిమంత! జయరామా! భక్తమందారమా!	saardulamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			true	4		
pdy-Bhaktamandaara-008	రకపుం గావ్యకళాకలాపరచనాప్రాగల్భ్యసంసిద్ధికై\nప్రకటప్రేమ భజింతు నీశ మకుటప్రస్ఫీతగంగాజలా-\nధికమాధుర్యకవిత్వధూర్వహన ధీదివ్యప్రభావాఢ్యఁ ది-\nమ్మకవిశ్రేష్ఠు మదగ్రజున్ మదిని రామా! భక్తమందారమా!	mattebhamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-009	సకలాభీష్టఫలప్రదాయకుఁడవై చంచద్దయాశాలివై\nప్రకటస్నేహరసార్ద్రమానసుఁడవై భంగీకృతానేకపా-\nతకఘోరామయశాత్రవోత్కరుడవై ధాత్రీసుతం గూడి మా-\nమక చిత్తాబ్జమునన్ వసించు మొగి, రామా! భక్తమందారమా!	mattebhamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-011	పలుమాఱున్ భవదీయకావ్యరచనాప్రాగల్భ్య మొప్పార ని-\nన్గొలుతున్ మామక మానసాబ్జమున బొంకుల్ గావు నీ వెచ్చటం\nగలలోనం బొడకట్ట విట్టి వగ బాగా! మేల్! బళా! శ్యామకో-\nమలవిభ్రాజితమందరావయవ! రామా! భక్తమందారమా!	mattebhamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-016	కంజాతప్రభవాండభాండచయరంగచ్చేతనాచేతనా-\nళిం జెన్నారఁగఁ బ్రోదిసేతువని హాళిన్ ధీజనుల్ దెల్ప హృత్\nకంజాతంబున మిమ్ము గొల్తు నను వేడ్కన్ వేగ రక్షింపుమీ\nమంజుశ్రీకరుణాకటాక్షమున రామా! భక్తమందారమా!	saardulamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-017	తళుకుం బంగరుకామ గుబ్బగొడు గందంబొప్ప శత్రుఘ్నుఁడ-\nర్మలి బట్టన్ భరతుండు చామరము గూర్మి న్వీవఁగా లక్ష్మణుం-\nడలదుం దూపుల విల్లు డాల్పఁ గపిసేనాధీశ్వరుల్ గొల్వ ని-\nర్మలలీలం గొలువుండు నిన్ దలఁతు రామా! భక్తమందారమా!	mattebhamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-018	నిక్కంబారయఁ దావకాంఘ్రివిలసన్నీరేరుహద్వంద్వమే\nదిక్కెల్లప్పుడు మాకటంచు మదినెంతే వేడ్క భావించెదన్\nజిక్కుల్ పన్నక నమ్మికిచ్చి సరగం జేపట్టి రక్షింపు స-\nమ్యక్కారుణ్యకటాక్షవీక్ష నను రామా! భక్తమందారమా!	saardulamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			true	4		
pdy-Bhaktamandaara-019	అతసీపుష్పసమానకోమలవినీలాంగున్ సముద్యన్మహో-\nన్నతకోదండనిషంగగంగు బలవన్నక్తంచరాఖర్వప-\nర్వతజీమూతతురంగుఁ గింకరజనవ్రాతావనాత్యంతర-\nమ్యతరాపాంగుని నిన్ భజింతు మది రామా! భక్తమందారమా!	mattebhamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-020	ఆర్తత్రాణపరాయణుండవని నిన్నత్యంతమున్ సజ్జను-\nల్గీర్తింపన్ విని తావకీన పదనాళీకద్వయంబాత్మ వి-\nస్ఫూర్తిం జెందఁగ నెంతు నెల్లపుడు నన్బోషింపుమీ సత్కృపన్\nమార్తాండద్విజరాజసన్నయన! రామా! భక్తమందారమా!	saardulamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-021	మదనాగాశ్వశతాంగ కాంచనకనన్మాణిక్యభూషా మృగీ\nమదదివ్యాంబరచామరధ్వజ లసన్మంజూషికాందోళికా-\nమృదుతల్పార్థసమృద్ధిగల్గి పిదప న్నీ సన్నిధిం జేరు నిన్\nమదిలో నెప్పుడు గొల్చు మానవుఁడు రామా! భక్తమందారమా!	mattebhamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-022	శ్రీకంఠాంబుజసంభవేంద్రరవిశోచిష్కేశముఖ్యామరా-\nనీకంబుల్ గడుభక్తి నిన్ గొలిచి పూన్కిన్ ధన్యులైనారు నేఁ-\nడాకాంక్షన్ భజియింతు మేమఱక చిత్తానంద మొందింపుమా\nమాకుం బ్రాపును దాపు నీవగుచు రామా! భక్తమందారమా!	saardulamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
pdy-Bhaktamandaara-027	ఇనుఁ డద్దంబగు నగ్ని నీరగు భుజగేంద్రుండు పూదండయౌ\nవనధుల్ పల్వలపంక్తులే జలధరాధ్వం బిల్లెయౌ రాజయో-\nగనిరూఢస్థితిఁ దావకీన పదయుగ్మం బెల్లకాలంబు ప్రే-\nమ నెదం బూని భజించు ధన్యులకు రామా! భక్తమందారమా!	mattebhamu	vruttamu	కూచిమంచి జగన్నాథకవి	bhakti	Bhaktamandaara	భక్తమందారశతకము	site			false	4		
