padyam_id	meter	meter_class	satakam	split	input	input_valid	reference	violated	violated_raw	edit.pos	edit.old	edit.new	edit.direction	edit.line	edit.akshara	edit.word	edit.attested	violation.paada	violation.gana	violation.akshara	violation.observed	violation.aksharas	id	edit	violation
pdy-seesamu-0066	seesamu	upajaathi	""	train	ధర్మవిఘాత మిద్ధర నీ వొనర్చిన- మూఁడులోకంబులు మ్రోసె నపుడె\nజనకునికూఁతు నిచ్చను బెండ్లి యాడంగ- నరనాథకోటులు నవ్వి రపుడె\nపుణ్యజనంబులఁ బోరి బాధింపంగ- సుర లద్భుతము నొంది చూచి రపుడె\nసంతతాశ్రిత విభీషణు రాజుఁ జేయంగ- నల రవీంద్రులు సాక్షి నిలిచి రపుడె	true	ధర్మవిఘాత మిద్ధర నీ వొనర్చిన- మూఁడులోకంబులు మ్రోసె నపుడె\nజనకునికూఁతు నిచ్చను బెండ్లి యాడంగ- నరనాథకోటులు నవ్వి రపుడె\nపుణ్యజనంబులఁ బోరి బాధింపంగ- సుర లద్భుతము నొంది చూచి రపుడె\nసంతతాశ్రిత విభీషణు రాజుఁ జేయంగ- నల రవీంద్రులు సాక్షి నిలిచి రపుడె	[]	[]														pdy-r-00010		
pdy-seesamu-0070	seesamu	upajaathi	""	test	కులగురుద్వేషి నొజ్జలుగ పెన్కొని కాచి- నిష్ఠురమంత్రము ల్నేర్చినావు\nపూర్వదేవతలు కాపుర మున్నపురియందు- వంచించి యగ్గిఁ బెట్టించినావు\nతాతలతరమునఁ ద్రవ్వించినపయోధీ- పేరుగాఁ గొంత పూడ్పించినావు\nమోస మౌ టెఱుఁగక మోహించి వచ్చిన- యెలనాగముక్కుఁ గోయించినావు	false	కులగురుద్వేషి నొజ్జలుగ పెన్కొని కాచి- నిష్ఠురమంత్రము ల్నేర్చినావు\nపూర్వదేవతలు కాపుర మున్నపురియందు- వంచించి యగ్గిఁ బెట్టించినావు\nతాతలతరమునఁ ద్రవ్వించినపయోధి- పేరుగాఁ గొంత పూడ్పించినావు\nమోస మౌ టెఱుఁగక మోహించి వచ్చిన- యెలనాగముక్కుఁ గోయించినావు	["seq"]	["seq"]	154	ి	ీ	lengthen	2	13	ద్రవ్వించినపయోధీ	false	4	3	60	||UU	["న","ప","యో","ధీ"]	pdy-r-00011		
pdy-seesamu-0103	seesamu	upajaathi	""	train	పూర్వకవీంద్రులు పుణ్యఫలం బేమి- సాక్షాత్కరించి యస్మత్పరంబు\nగా గద్యపద్యముల్‌ గల్పించు మనిన వే- వర మొసంగితి వండ్రు వాంఛఁ జేసి\nనేర్చి నట్లూగఁ గూర్చి నేఁటి కవిత్వంబు- నీకంకితముఁ జేసి నెనరు దోఁపఁ\nజేదోయి యొగ్గిన శ్రీపాదరజ మింత- నామీఁదఁ బాఱ నీ వేమి సామి	false	పూర్వకవీంద్రులు పుణ్యఫలం బేమి- సాక్షాత్కరించి యస్మత్పరంబు\nగా గద్యపద్యముల్‌ గల్పించు మనిన వే- వర మొసంగితి వండ్రు వాంఛఁ జేసి\nనేర్చి నట్లుగఁ గూర్చి నేఁటి కవిత్వంబు- నీకంకితముఁ జేసి నెనరు దోఁపఁ\nజేదోయి యొగ్గిన శ్రీపాదరజ మింత- నామీఁదఁ బాఱ నీ వేమి సామి	["seq"]	["corr","seq"]	134	ు	ూ	lengthen	2	3	నట్లూగఁ	false	4	2	53	|U||	["ర్చి","నే","టి","క"]	pdy-r-00012		
pdy-seesamu-0104	seesamu	upajaathi	""	train	కావ్యదోషము లెఱుంగని మత్కవిత్వంబు- విద్వన్నుతంబుఁ గావించినావు\nబహిరంత రింద్రియ పరిశుద్ధి లేని నా- తలఁపులోపల వచ్చి నిలచినావు\nపుణ్యకర్మ మొకింత పూని సేయని నన్నూఁ- బెద్దలచేత మెప్పించినావు\nపురుషప్రయత్నంబు గురు తెఱుంగని నన్ను- భుక్తి గల్గఁగ జేసి ప్రోచినావు	false	కావ్యదోషము లెఱుంగని మత్కవిత్వంబు- విద్వన్నుతంబుఁ గావించినావు\nబహిరంత రింద్రియ పరిశుద్ధి లేని నా- తలఁపులోపల వచ్చి నిలచినావు\nపుణ్యకర్మ మొకింత పూని సేయని నన్నుఁ- బెద్దలచేత మెప్పించినావు\nపురుషప్రయత్నంబు గురు తెఱుంగని నన్ను- భుక్తి గల్గఁగ జేసి ప్రోచినావు	["seq"]	["seq"]	154	ు	ూ	lengthen	2	13	నన్నూఁ	false	4	3	61	||UU	["య","ని","న","న్నూ"]	pdy-r-00013		
pdy-saardulamu-0004	saardulamu	vruttamu	""	test	వింతల్‍గాఁ గడు మీకు సత్కృతూలు గావింతున్ దుషారాద్రిజా-\nకాంతాక్రాంతజటాంతరాళవిలుఠద్గంగాతరంగచ్ఛటో-\nత్క్రాంతాత్యంత ఝళంఝళన్నినద రంగద్ధాటి మీఱంగ సా-\nమంతా! సంతతశాంతిమంత! జయరామా! భక్తమందారమా!	false	వింతల్‍గాఁ గడు మీకు సత్కృతులు గావింతున్ దుషారాద్రిజా-\nకాంతాక్రాంతజటాంతరాళవిలుఠద్గంగాతరంగచ్ఛటో-\nత్క్రాంతాత్యంత ఝళంఝళన్నినద రంగద్ధాటి మీఱంగ సా-\nమంతా! సంతతశాంతిమంత! జయరామా! భక్తమందారమా!	["seq"]	["seq"]	26	ు	ూ	lengthen	0	9	సత్కృతూలు	false	0	3	9	U|U	["తూ","లు","గా"]	pdy-r-00014		
pdy-mattebhamu-0026	mattebhamu	vruttamu	""	train	మొదలంజేసిన పుణ్యపాపములు సన్మోదాతిఖేదంబులై\nయదన న్వచ్చి భుజింపఁ బాలుపడు నాహా! యెవ్వరి న్వేఁడిన\nన్వదలంజాల వవెన్నీచందములఁ దా వారింపఁ జింతించిన\nన్ మదనారాతికినైనఁ దథ్యమిది రామా! భక్తమందారమా!	false	మొదలంజేసిన పుణ్యపాపములు సన్మోదాతిఖేదంబులై\nయదన న్వచ్చి భుజింపఁ బాలుపడు నాహా! యెవ్వరి న్వేఁడిన\nన్వదలంజాల వవెన్నిచందములఁ దా వారింపఁ జింతించిన\nన్ మదనారాతికినైనఁ దథ్యమిది రామా! భక్తమందారమా!	["seq"]	["seq"]	109	ి	ీ	lengthen	2	7	వవెన్నీచందములఁ	false	2	2	46	UUU	["వె","న్నీ","చం"]	pdy-r-00015		
pdy-mattebhamu-0033	mattebhamu	vruttamu	""	train	వృషలీభర్తయు దేవలుండు నటుఁడున్ వేదాభిశస్తుండూ మా-\nహిషికుం డగ్నిద కుండగోళకులునున్ హింసాపరస్వాంతుడు\nన్ విషదుండుం గొఱగాఁడు పంక్తి కెపుడుర్విన్ భక్తసంఘాతక-\nల్మషమత్తద్విరదౌఘ పంచముఖరామా! భక్తమందారమా!	false	వృషలీభర్తయు దేవలుండు నటుఁడున్ వేదాభిశస్తుండు మా-\nహిషికుం డగ్నిద కుండగోళకులునున్ హింసాపరస్వాంతుడు\nన్ విషదుండుం గొఱగాఁడు పంక్తి కెపుడుర్విన్ భక్తసంఘాతక-\nల్మషమత్తద్విరదౌఘ పంచముఖరామా! భక్తమందారమా!	["seq"]	["seq"]	43	ు	ూ	lengthen	0	18	వేదాభిశస్తుండూ	false	0	6	18	UU	["డూ","మా"]	pdy-r-00016		
pdy-saardulamu-0019	saardulamu	vruttamu	""	train	దీనత్వంబునఁ గూడులేక చేడి యెంతే భైక్ష్యముల్ గొంచు ల-\nజ్జానామంబులు లేకయుంబు బలురాజన్యుండు చేపట్టి దా\nనానావస్తువులిచ్చి వైభవమిడన్ న్యాయజ్ఞుఁడై వాఁడిల\nన్ మానం జాలునె తొంటినీచగతి రామా! భక్తమందారమా!	false	దీనత్వంబునఁ గూడులేక చెడి యెంతే భైక్ష్యముల్ గొంచు ల-\nజ్జానామంబులు లేకయుంబు బలురాజన్యుండు చేపట్టి దా\nనానావస్తువులిచ్చి వైభవమిడన్ న్యాయజ్ఞుఁడై వాఁడిల\nన్ మానం జాలునె తొంటినీచగతి రామా! భక్తమందారమా!	["seq"]	["seq"]	21	ె	ే	lengthen	0	9	చేడి	false	0	3	9	U|U	["చే","డి","యెం"]	pdy-r-00017		
pdy-saardulamu-0021	saardulamu	vruttamu	""	train	పద్యంబేల పిసిండి? కీప్సితము దీర్పన్ లేని జేజేకు నై-\nవేద్యంబేల? పదార్థచోరూనకు నుర్విన్ వేదవేదాంతస-\nద్విద్యాభ్యాసకబుద్ధియేల? మది భావింపంగ నెల్లప్పుడు\nన్ మద్యం బానెడువానికేల సుధ? రామా! భక్తమందారమా!	false	పద్యంబేల పిసిండి? కీప్సితము దీర్పన్ లేని జేజేకు నై-\nవేద్యంబేల? పదార్థచోరునకు నుర్విన్ వేదవేదాంతస-\nద్విద్యాభ్యాసకబుద్ధియేల? మది భావింపంగ నెల్లప్పుడు\nన్ మద్యం బానెడువానికేల సుధ? రామా! భక్తమందారమా!	["seq"]	["seq"]	72	ు	ూ	lengthen	1	8	పదార్థచోరూనకు	false	1	2	25	|UU	["ర్థ","చో","రూ"]	pdy-r-00018		
pdy-mattebhamu-0057	mattebhamu	vruttamu	""	train	అతికష్టం బొనరించి భూమిజనుఁ డత్యాసక్తి విత్తంబు వి-\nస్తృతభంగిం గడియింపఁగా నెఱిఁగి ధాత్రీకాంతు లుద్దండప-\nద్ధతి వానిం గొనిపోయి కొట్టి మిగులం దండించి యా సొమ్ము స-\nమ్మతిఁ గైకొండ్రు మఱెంత నిర్దయూలొ రామా! భక్తమందారమా!	false	అతికష్టం బొనరించి భూమిజనుఁ డత్యాసక్తి విత్తంబు వి-\nస్తృతభంగిం గడియింపఁగా నెఱిఁగి ధాత్రీకాంతు లుద్దండప-\nద్ధతి వానిం గొనిపోయి కొట్టి మిగులం దండించి యా సొమ్ము స-\nమ్మతిఁ గైకొండ్రు మఱెంత నిర్దయులొ రామా! భక్తమందారమా!	["seq"]	["seq"]	188	ు	ూ	lengthen	3	10	నిర్దయూలొ	false	3	3	69	|U|	["ర్ద","యూ","లొ"]	pdy-r-00019		
pdy-mattebhamu-0108	mattebhamu	vruttamu	""	train	తలపోయన్ దిలజాలకాంతరమహాతైలంబు చందానఁ బు-\nసలలో దారము పోల్కి నాత్మమయతన్ సర్వాంతరస్థాయివై\nవిలసల్లీలల నిండియుండుకొను నిన్వీక్షంపఁగా నేర్చువా-\nరలె ధన్యుల్ గద ముజ్జగంబులను భర్గా! పార్వతీవల్లభా!	false	తలపోయన్ దిలజాలకాంతరమహాతైలంబు చందానఁ బూ-\nసలలో దారము పోల్కి నాత్మమయతన్ సర్వాంతరస్థాయివై\nవిలసల్లీలల నిండియుండుకొను నిన్వీక్షంపఁగా నేర్చువా-\nరలె ధన్యుల్ గద ముజ్జగంబులను భర్గా! పార్వతీవల్లభా!	["seq"]	["seq"]	37	ూ	ు	shorten	0	19	బు	true	0	6	18	||	["న","బు"]	pdy-r-00020		
pdy-mattebhamu-0114	mattebhamu	vruttamu	""	test	హరి దైవంబు విరించి సర్వభువనాధ్యక్షుండు బృందారకే-\nశ్వరుఁడాఢ్యుండు హుతాశనుండు పతి భాస్వంతుండు వేల్పండ్రు లో\nనరయ న్నేరరూగా ‘శివాత్పరతరం నాస్తీ’తివాక్యార్థ మే-\nకరణిం గోవిదులైరొ కాని మఱి! భర్గా! పార్వతీవల్లభా!	false	హరి దైవంబు విరించి సర్వభువనాధ్యక్షుండు బృందారకే-\nశ్వరుఁడాఢ్యుండు హుతాశనుండు పతి భాస్వంతుండు వేల్పండ్రు లో\nనరయ న్నేరరుగా ‘శివాత్పరతరం నాస్తీ’తివాక్యార్థ మే-\nకరణిం గోవిదులైరొ కాని మఱి! భర్గా! పార్వతీవల్లభా!	["seq"]	["seq"]	116	ు	ూ	lengthen	2	5	న్నేరరూగా	false	2	1	43	U|U	["న్నే","ర","రూ"]	pdy-r-00021		
pdy-mattebhamu-0135	mattebhamu	vruttamu	""	dev	తులువ ల్పెట్ట భుజింపలేక ధనమెంతో నెమ్మదిం గూర్చి మూ-\nలల దట్టంబుగఁ బాఁతుకొన్న నృపతు ల్వాలెంబు నిర్మొహులై\nపలుచందంబులఁ గట్టి కొట్టి మిగుల న్బాధించి రోధించుచుం\nగల సొమ్మెల్ల హరించుచుండ్రు గద! భర్గా! పార్వతీవల్లభా!	false	తులువ ల్పెట్ట భుజింపలేక ధనమెంతో నెమ్మదిం గూర్చి మూ-\nలల దట్టంబుగఁ బాఁతుకొన్న నృపతు ల్వాలెంబు నిర్మోహులై\nపలుచందంబులఁ గట్టి కొట్టి మిగుల న్బాధించి రోధించుచుం\nగల సొమ్మెల్ల హరించుచుండ్రు గద! భర్గా! పార్వతీవల్లభా!	["seq"]	["seq"]	97	ో	ొ	shorten	1	17	నిర్మొహులై	false	1	5	35	|U|	["బు","ని","ర్మొ"]	pdy-r-00022		
pdy-saardulamu-0057	saardulamu	vruttamu	""	dev	పో! పొ! బాఁపఁడ! దోసె డూదలిడినం బోలేక పేరాసల-\nన్వాపోఁ జాగితివేమి! నీ సదువు తిర్నామంబులో! సుద్దులో\nభూపాళంబులొ లంకసత్తెలొ బలా బొల్ల్యావుపోట్లాటలో\nకా! పాటింపనటండ్రు బాలిశులు భర్గా! పార్వతీవల్లభా!	false	పో! పో! బాఁపఁడ! దోసె డూదలిడినం బోలేక పేరాసల-\nన్వాపోఁ జాగితివేమి! నీ సదువు తిర్నామంబులో! సుద్దులో\nభూపాళంబులొ లంకసత్తెలొ బలా బొల్ల్యావుపోట్లాటలో\nకా! పాటింపనటండ్రు బాలిశులు భర్గా! పార్వతీవల్లభా!	["seq"]	["seq"]	5	ో	ొ	shorten	0	1	పొ	true	0	0	0	U|U	["పో","పొ","బా"]	pdy-r-00023		
pdy-champakamaala-0006	champakamaala	vruttamu	""	test	అవనివిభుండు నేరుపరియై చరియించినఁ గొల్చువార లె\nట్లవగుణు లైననేమి? పనులన్నియుఁ జేకుఱు వారిచేతనే;\nప్రవీమలనీతిశాలి యగు రాముని కార్యము మర్కటంబులే\nతవిలి యొనర్పవే జలధి దాఁటి సురారులఁ ద్రుంచి భాస్కరా!	false	అవనివిభుండు నేరుపరియై చరియించినఁ గొల్చువార లె\nట్లవగుణు లైననేమి? పనులన్నియుఁ జేకుఱు వారిచేతనే;\nప్రవిమలనీతిశాలి యగు రాముని కార్యము మర్కటంబులే\nతవిలి యొనర్పవే జలధి దాఁటి సురారులఁ ద్రుంచి భాస్కరా!	["seq"]	["seq"]	98	ి	ీ	lengthen	2	1	ప్రవీమలనీతిశాలి	false	2	0	42	|U|	["ప్ర","వీ","మ"]	pdy-r-00024		
pdy-vutpalamaala-0017	vutpalamaala	vruttamu	""	dev	కట్టడ దప్పి తాము చెడు కార్యముఁ జేయుచు నుండిరేని దోఁ\nబుట్టిన వారినైన విడిపోవుట కార్యము; దౌర్మదాంధ్యముం\nదొట్టిన రావణాసురునితో నెడఁబాసి విభీషణాఖ్యుఁ డా\nపట్టున రాముఁ జేరి చిరపట్టము గట్టుకొనండె భాస్కరా!	true	కట్టడ దప్పి తాము చెడు కార్యముఁ జేయుచు నుండిరేని దోఁ\nబుట్టిన వారినైన విడిపోవుట కార్యము; దౌర్మదాంధ్యముం\nదొట్టిన రావణాసురునితో నెడఁబాసి విభీషణాఖ్యుఁ డా\nపట్టున రాముఁ జేరి చిరపట్టము గట్టుకొనండె భాస్కరా!	[]	[]														pdy-r-00025		
pdy-vutpalamaala-0019	vutpalamaala	vruttamu	""	test	కట్టడ లేని కాలమున గాదు శుభం బొరులెంతవారు చె\nపట్టిననైన మర్త్యునకు భాగ్యము రాదనుటెల్లఁ గల్లకా\nదెట్టని పల్కినన్‌; దశరథేశ వసిష్ఠులు రామమూర్తికి\nన్‌ బట్టము కట్టఁ గోరి రది పాయక చేకుఱెనోటు భాస్కరా!	false	కట్టడ లేని కాలమున గాదు శుభం బొరులెంతవారు చే\nపట్టిననైన మర్త్యునకు భాగ్యము రాదనుటెల్లఁ గల్లకా\nదెట్టని పల్కినన్‌; దశరథేశ వసిష్ఠులు రామమూర్తికి\nన్‌ బట్టము కట్టఁ గోరి రది పాయక చేకుఱెనోటు భాస్కరా!	["seq"]	["seq"]	42	ే	ె	shorten	0	19	చె	true	0	6	18	||	["రు","చె"]	pdy-r-00026		
